Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides H23R_1	Peptides H23R_2	Peptides H23R_3	Peptides WT_1	Peptides WT_2	Peptides WT_3	Razor + unique peptides H23R_1	Razor + unique peptides H23R_2	Razor + unique peptides H23R_3	Razor + unique peptides WT_1	Razor + unique peptides WT_2	Razor + unique peptides WT_3	Unique peptides H23R_1	Unique peptides H23R_2	Unique peptides H23R_3	Unique peptides WT_1	Unique peptides WT_2	Unique peptides WT_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type H23R_1	Identification type H23R_2	Identification type H23R_3	Identification type WT_1	Identification type WT_2	Identification type WT_3	Sequence coverage H23R_1 [%]	Sequence coverage H23R_2 [%]	Sequence coverage H23R_3 [%]	Sequence coverage WT_1 [%]	Sequence coverage WT_2 [%]	Sequence coverage WT_3 [%]	Intensity	Intensity H23R_1	Intensity H23R_2	Intensity H23R_3	Intensity WT_1	Intensity WT_2	Intensity WT_3	LFQ intensity H23R_1	LFQ intensity H23R_2	LFQ intensity H23R_3	LFQ intensity WT_1	LFQ intensity WT_2	LFQ intensity WT_3	MS/MS Count H23R_1	MS/MS Count H23R_2	MS/MS Count H23R_3	MS/MS Count WT_1	MS/MS Count WT_2	MS/MS Count WT_3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
XX|GELS_HUMAN|;sp|P06396|GELS_HUMAN	XX|GELS_HUMAN|;sp|P06396|GELS_HUMAN	22;22	22;22	13;13	;	2	22	22	13	17	16	17	19	22	22	17	16	17	19	22	22	9	10	11	12	13	13	35.2	35.2	26.6	85.696	782	782;782	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28	31.5	33.8	33.8	35.2	35.2	1240100000	103260000	93975000	127110000	412880000	253200000	249710000	123130000	117680000	117320000	387620000	229570000	206170000	26	21	20	36	41	42	186				304	216;225;555;1607;1615;1746;2936;3035;5509;5525;5526;5789;6950;6951;7332;7333;7334;7335;7593;7609;7671;7773	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	219;228;562;1633;1641;1772;2978;3079;5617;5633;5634;5900;7082;7083;7473;7474;7475;7476;7744;7760;7822;7926	1255;1256;1257;1258;1259;1260;1310;1311;1312;1313;3311;3312;3313;3314;3315;3316;3317;3318;3319;3320;3321;3322;9675;9676;9677;9678;9679;9680;9681;9682;9723;9724;9725;9726;9727;9728;10473;10474;10475;10476;10477;10478;17856;17857;17858;17859;17860;17861;17862;17863;17864;17865;18461;18462;18463;18464;18465;18466;33897;33898;33899;33900;33901;33902;33971;33972;33973;33974;33975;33976;33977;33978;33979;35584;35585;35586;35587;35588;35589;35590;35591;35592;35593;35594;35595;42791;42792;42793;42794;42795;42796;42797;42798;42799;42800;45370;45371;45372;45373;45374;45375;45376;45377;45378;45379;45380;45381;45382;45383;45384;45385;45386;45387;45388;45389;45390;47007;47008;47009;47010;47098;47099;47100;47448;47449;47450;47451;47452;47453;47454;47455;47456;47457;48086;48087;48088;48089;48090;48091;48092;48093;48094;48095	1309;1310;1311;1312;1313;1314;1315;1316;1360;1361;1362;3353;3354;3355;3356;3357;3358;3359;3360;3361;3362;3363;3364;3365;3366;3367;3368;3369;3370;9713;9714;9715;9716;9717;9718;9719;9720;9721;9722;9723;9724;9725;9726;9727;9728;9777;9778;9779;9780;9781;9782;10478;10479;10480;10481;10482;10483;10484;10485;10486;10487;10488;10489;10490;10491;10492;10493;10494;18002;18003;18004;18005;18006;18007;18643;18644;18645;18646;18647;18648;34148;34149;34150;34151;34152;34153;34154;34155;34156;34157;34158;34159;34160;34161;34162;34163;34164;34165;34166;34167;34168;34169;34170;34171;34172;34173;34174;34175;34176;34266;34267;34268;34269;34270;34271;35677;35678;35679;35680;35681;35682;35683;35684;35685;35686;35687;35688;35689;35690;35691;35692;35693;35694;35695;35696;42843;42844;42845;42846;42847;42848;42849;42850;42851;42852;45554;45555;45556;45557;45558;45559;45560;45561;45562;45563;45564;45565;45566;45567;45568;45569;45570;45571;45572;45573;45574;45575;45576;45577;45578;47371;47372;47373;47463;47798;47799;47800;47801;47802;47803;48457;48458;48459;48460;48461;48462	1315;1360;3360;9719;9780;10487;18007;18646;34162;34267;34270;35689;42846;42852;45554;45560;45568;45578;47373;47463;47799;48459		
sp|P06454|PTMA_HUMAN	sp|P06454|PTMA_HUMAN	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12.6	12.6	12.6	12.203	111	111	0	144.96	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.6	12.6	12.6	12.6	12.6	12.6	413430000	81209000	90336000	60416000	31256000	74852000	75360000	0	0	0	0	0	60271000	3	3	3	3	3	3	18				305	6039	True	6155	37134;37135;37136;37137;37138;37139;37140;37141	37171;37172;37173;37174;37175;37176;37177;37178;37179;37180;37181;37182;37183;37184;37185;37186;37187;37188	37182		
sp|P06493|CDK1_HUMAN;sp|Q00535|CDK5_HUMAN;sp|P24941|CDK2_HUMAN;sp|P11802|CDK4_HUMAN;sp|Q00526|CDK3_HUMAN;sp|Q00534|CDK6_HUMAN;sp|P50750|CDK9_HUMAN;sp|Q96Q40|CDK15_HUMAN;sp|O94921|CDK14_HUMAN;sp|Q07002|CDK18_HUMAN;sp|Q00536|CDK16_HUMAN;sp|Q00537|CDK17_HUMAN;sp|Q9NYV4|CDK12_HUMAN;sp|Q14004|CDK13_HUMAN	sp|P06493|CDK1_HUMAN	3;1;1;1;1;1;1;1;1;1;1;1;1;1	3;1;1;1;1;1;1;1;1;1;1;1;1;1	3;1;1;1;1;1;1;1;1;1;1;1;1;1		14	3	3	3	3	3	1	2	2	3	3	3	1	2	2	3	3	3	1	2	2	3	11.4	11.4	11.4	34.095	297	297;292;298;303;305;326;372;435;469;472;496;523;1490;1512	0	17.719	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	11.4	11.4	5.4	8.1	8.8	11.4	12492000	2156000	2848000	1706300	2008000	1231400	2541800	2436500	3013300	0	0	0	1974200	1	1	0	0	0	1	3				306	976;3883;6386	True;True;True	990;3939;6510	5862;5863;5864;5865;5866;5867;23729;23730;23731;23732;39261;39262;39263;39264	5927;5928;23797;39345	5928;23797;39345		
sp|P06576|ATPB_HUMAN	sp|P06576|ATPB_HUMAN	13	13	13		1	13	13	13	12	13	12	11	12	13	12	13	12	11	12	13	12	13	12	11	12	13	35.2	35.2	35.2	56.559	529	529	0	176.01	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	32.7	35.2	32.7	29.5	32.7	35.2	276700000	39589000	53000000	54575000	41074000	40622000	47842000	43580000	60770000	50758000	36227000	37393000	41233000	13	16	15	10	13	15	82				307	246;257;2003;2131;3305;3316;3317;4793;6758;6984;7062;7441;7730	True;True;True;True;True;True;True;True;True;True;True;True;True	249;260;2033;2164;3356;3368;3369;4865;6884;7116;7196;7586;7882	1419;1420;1421;1422;1423;1483;1484;1485;1486;1487;1488;11978;11979;11980;11981;11982;11983;12775;12776;12777;12778;12779;12780;20159;20160;20161;20162;20163;20229;20230;20231;20232;20233;20234;20235;20236;20237;20238;20239;20240;29268;29269;29270;29271;29272;29273;29274;29275;29276;29277;29278;29279;41584;41585;41586;41587;41588;41589;42999;43000;43001;43002;43003;43004;43511;43512;43513;46087;46088;46089;46090;46091;46092;47814;47815;47816;47817;47818;47819	1510;1511;1512;1562;1563;1564;1565;1566;1567;12009;12010;12011;12012;12013;12014;12015;12815;12816;12817;12818;12819;12820;12821;12822;12823;12824;20428;20429;20430;20431;20432;20433;20518;20519;20520;20521;20522;20523;20524;20525;20526;20527;20528;20529;20530;20531;29273;29274;29275;29276;29277;29278;29279;29280;29281;29282;29283;29284;29285;29286;41598;41599;41600;41601;41602;41603;43050;43051;43579;46381;46382;46383;46384;46385;46386;48166;48167;48168;48169;48170;48171;48172;48173	1512;1564;12012;12817;20431;20518;20528;29286;41600;43050;43579;46384;48173		
sp|P06733|ENOA_HUMAN;sp|P13929|ENOB_HUMAN;sp|P09104|ENOG_HUMAN	sp|P06733|ENOA_HUMAN	27;1;1	27;1;1	27;1;1		3	27	27	27	24	25	26	26	26	26	24	25	26	26	26	26	24	25	26	26	26	26	59.4	59.4	59.4	47.168	434	434;434;434	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	57.1	59	59	59.4	58.8	59.4	8720200000	968880000	1013300000	1346200000	1867300000	1586300000	1938300000	1129500000	1200900000	1191800000	1664900000	1378400000	1578300000	67	69	71	75	83	89	454				308	79;80;81;238;798;799;1196;1374;1409;2119;2120;2547;2820;3005;3740;3741;3742;3927;3938;4446;4503;6121;6151;6759;7753;7948;8032	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	79;80;81;241;808;809;1216;1395;1431;2152;2153;2584;2860;3048;3049;3796;3797;3798;3983;3984;3985;3996;4513;4572;6240;6271;6885;7905;7906;8104;8189	468;469;470;471;472;473;474;475;476;477;478;479;480;481;482;483;484;485;486;487;488;489;490;491;492;493;494;495;496;1360;1361;1362;1363;1364;1365;4803;4804;4805;4806;4807;4808;4809;4810;4811;4812;4813;4814;4815;4816;4817;4818;4819;4820;7211;7212;7213;7214;7215;7216;7217;7218;7219;7220;8275;8276;8277;8278;8279;8280;8501;8502;8503;8504;8505;12683;12684;12685;12686;12687;12688;12689;12690;12691;12692;12693;12694;12695;12696;12697;12698;12699;12700;12701;12702;12703;12704;12705;12706;12707;12708;12709;12710;12711;12712;12713;15323;15324;15325;15326;15327;15328;15329;15330;15331;15332;15333;15334;17005;17006;17007;17008;17009;17010;17011;17012;17013;17014;17015;17016;17017;18279;18280;18281;18282;18283;18284;18285;18286;18287;18288;18289;18290;18291;18292;18293;22797;22798;22799;22800;22801;22802;22803;22804;22805;22806;22807;22808;22809;22810;22811;22812;22813;22814;22815;22816;22817;22818;22819;22820;23975;23976;23977;23978;23979;23980;23981;23982;23983;23984;23985;23986;23987;23988;23989;23990;23991;23992;23993;23994;23995;23996;24058;24059;24060;24061;24062;24063;24064;27171;27172;27173;27174;27175;27176;27515;27516;27517;27518;27519;27520;27521;27522;27523;27524;27525;37588;37589;37590;37591;37592;37593;37594;37595;37596;37765;37766;37767;37768;37769;37770;37771;37772;41590;41591;41592;41593;41594;41595;47959;47960;47961;47962;47963;47964;47965;47966;47967;47968;47969;47970;47971;47972;47973;47974;47975;47976;47977;49176;49177;49178;49179;49180;49181;49182;49183;49184;49185;49186;49187;49673;49674;49675;49676;49677;49678	527;528;529;530;531;532;533;534;535;536;537;538;539;540;541;542;543;544;545;546;547;548;549;550;551;552;553;554;555;556;557;558;559;560;561;562;563;564;565;566;567;568;569;570;1402;1403;1404;1405;1406;1407;1408;1409;1410;1411;1412;1413;1414;4946;4947;4948;4949;4950;4951;4952;4953;4954;4955;4956;4957;4958;4959;4960;4961;4962;4963;4964;4965;4966;4967;4968;4969;4970;4971;4972;4973;4974;4975;4976;4977;4978;4979;4980;7447;7448;7449;7450;7451;7452;7453;7454;7455;7456;7457;7458;7459;7460;7461;7462;7463;7464;7465;7466;7467;8366;8367;8368;8369;8370;8371;8372;8373;8374;8375;8569;8570;12688;12689;12690;12691;12692;12693;12694;12695;12696;12697;12698;12699;12700;12701;12702;12703;12704;12705;12706;12707;12708;12709;12710;12711;12712;12713;12714;12715;12716;12717;12718;12719;12720;12721;12722;12723;12724;12725;12726;12727;12728;12729;12730;12731;12732;12733;12734;12735;12736;12737;12738;12739;12740;12741;12742;12743;12744;12745;12746;15430;15431;15432;15433;15434;15435;15436;15437;15438;15439;15440;15441;15442;15443;15444;15445;15446;17051;17052;17053;17054;17055;17056;17057;17058;17059;17060;17061;17062;17063;17064;17065;17066;17067;17068;18459;18460;18461;18462;18463;18464;18465;18466;18467;18468;18469;18470;18471;18472;18473;18474;18475;18476;18477;18478;18479;18480;18481;22864;22865;22866;22867;22868;22869;22870;22871;22872;22873;22874;22875;22876;22877;22878;22879;22880;22881;22882;22883;22884;22885;22886;22887;22888;22889;22890;22891;22892;22893;22894;22895;24065;24066;24067;24068;24069;24070;24071;24072;24073;24074;24075;24076;24077;24078;24079;24080;24081;24082;24083;24084;24085;24086;24087;24088;24089;24090;24091;24092;24093;24094;24159;24160;24161;24162;24163;24164;24165;24166;24167;24168;24169;24170;24171;24172;24173;24174;24175;24176;27238;27239;27240;27241;27242;27243;27244;27245;27246;27247;27248;27249;27250;27565;27566;27567;27568;27569;27570;27571;27572;27573;27574;27575;27576;37628;37629;37630;37631;37632;37633;37634;37635;37636;37637;37638;37639;37640;37641;37642;37643;37644;37645;37818;37819;37820;37821;37822;37823;37824;41604;41605;41606;41607;41608;48292;48293;48294;48295;48296;48297;48298;48299;48300;48301;48302;48303;48304;48305;48306;48307;48308;48309;48310;48311;48312;48313;48314;48315;48316;48317;48318;48319;48320;48321;48322;48323;48324;48325;48326;48327;48328;48329;49519;49520;49521;49522;49523;49524;49525;49526;49527;49528;49529;49530;49531;49532;49533;49534;49535;49536;49537;49538;49539;49971;49972;49973;49974;49975;49976;49977;49978;49979;49980;49981;49982;49983;49984;49985;49986;49987;49988;49989	545;556;564;1414;4969;4976;7451;8372;8569;12708;12742;15438;17061;18464;22864;22879;22895;24075;24161;27249;27574;37637;37823;41608;48323;49538;49973	48;49;50;51	94;165;169;244
sp|P06737|PYGL_HUMAN;sp|P11217|PYGM_HUMAN	sp|P06737|PYGL_HUMAN	12;4	12;4	9;1		2	12	12	9	11	10	12	11	12	11	11	10	12	11	12	11	9	8	9	8	9	8	17.6	17.6	13.2	97.147	847	847;842	0	112.95	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.6	15	17.6	15.9	17.6	15.7	110280000	12654000	10937000	18025000	25018000	22023000	21624000	16937000	16417000	13883000	21940000	18737000	17605000	7	6	5	10	11	12	51				309	1206;1787;2110;2440;3094;4184;4281;4780;6439;7276;7348;7541	True;True;True;True;True;True;True;True;True;True;True;True	1227;1813;2143;2477;3138;4249;4347;4852;6564;7416;7489;7689	7284;7285;7286;7287;7288;7289;10714;10715;10716;10717;10718;10719;12637;12638;12639;12640;12641;12642;14667;14668;14669;14670;14671;14672;18818;18819;18820;18821;18822;18823;25578;25579;25580;25581;25582;25583;26200;26201;26202;26203;26204;26205;29178;29179;29180;29181;39604;39605;39606;39607;39608;39609;45001;45002;45003;45004;45005;45462;45463;45464;45465;46689;46690;46691;46692;46693;46694	7536;7537;7538;7539;7540;10714;12652;14778;14779;14780;14781;19067;19068;19069;19070;19071;25655;25656;25657;25658;25659;25660;26245;26246;26247;26248;26249;26250;29164;29165;29166;29167;39636;39637;39638;39639;39640;39641;45203;45204;45644;45645;45646;45647;45648;47016;47017;47018;47019;47020;47021	7538;10714;12652;14779;19069;25656;26250;29167;39638;45203;45645;47020		
sp|P06744|G6PI_HUMAN	sp|P06744|G6PI_HUMAN	21	21	16		1	21	21	16	18	20	19	20	21	21	18	20	19	20	21	21	14	15	15	15	16	16	50.4	50.4	41.6	63.146	558	558	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	48.4	48.4	43.7	48.4	50.4	50.4	2539200000	297120000	314230000	443310000	584190000	393480000	506870000	366240000	364200000	339110000	509500000	372790000	416050000	33	35	33	42	35	50	228				310	1065;1772;1792;1793;2032;2802;3050;3261;3678;4727;5337;6372;6373;6725;6726;6727;6792;6820;7182;7263;7805	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1083;1798;1818;1819;2064;2842;3094;3310;3311;3734;4797;5439;6495;6496;6497;6851;6852;6853;6918;6919;6947;7320;7403;7958	6443;6444;6445;6446;6447;6448;10615;10616;10617;10618;10619;10620;10740;10741;10742;10743;10744;10745;10746;10747;10748;10749;12168;12169;12170;12171;12172;12173;12174;12175;12176;12177;12178;16893;16894;16895;16896;18548;18549;18550;18551;18552;18553;19854;19855;19856;19857;19858;19859;19860;19861;19862;19863;19864;19865;19866;19867;19868;19869;19870;19871;19872;19873;19874;19875;19876;19877;19878;19879;19880;19881;19882;19883;19884;22400;22401;22402;22403;22404;22405;22406;22407;22408;22409;22410;22411;28848;28849;28850;28851;28852;28853;32727;32728;32729;32730;32731;32732;32733;39167;39168;39169;39170;39171;39172;39173;39174;39175;39176;39177;39178;39179;39180;39181;39182;39183;41380;41381;41382;41383;41384;41385;41386;41387;41388;41389;41390;41391;41392;41393;41394;41395;41396;41397;41398;41399;41801;41802;41803;41804;41805;41806;41807;41808;41809;41810;41975;41976;41977;41978;41979;41980;41981;41982;44408;44409;44410;44411;44412;44413;44414;44415;44416;44417;44418;44923;44924;44925;44926;44927;44928;48292;48293;48294;48295;48296;48297;48298;48299;48300;48301	6621;6622;6623;10612;10613;10614;10615;10616;10617;10726;10727;10728;10729;10730;10731;10732;12198;12199;12200;12201;12202;12203;12204;12205;16970;16971;16972;18746;18747;18748;18749;20132;20133;20134;20135;20136;20137;20138;20139;20140;20141;20142;20143;20144;20145;20146;20147;20148;20149;20150;20151;20152;20153;20154;22549;22550;22551;22552;22553;22554;22555;22556;22557;22558;22559;22560;22561;22562;28814;28815;28816;28817;28818;28819;32880;32881;32882;32883;32884;32885;32886;32887;32888;32889;32890;32891;32892;32893;32894;39247;39248;39249;39250;39251;39252;39253;39254;39255;39256;39257;39258;39259;39260;39261;39262;39263;39264;39265;39266;41359;41360;41361;41362;41363;41364;41365;41366;41367;41368;41369;41370;41371;41372;41373;41374;41375;41376;41377;41378;41379;41380;41381;41382;41383;41384;41385;41386;41387;41388;41389;41390;41391;41823;41824;41825;41826;42006;42007;42008;42009;42010;42011;42012;42013;42014;42015;42016;42017;42018;42019;42020;42021;42022;42023;42024;44614;44615;44616;44617;44618;44619;44620;44621;44622;44623;44624;44625;44626;44627;44628;44629;44630;44631;44632;44633;44634;44635;44636;44637;44638;44639;44640;44641;44642;44643;44644;44645;44646;44647;44648;44649;45130;45131;45132;45133;45134;45135;45136;45137;48641;48642;48643;48644;48645;48646;48647;48648;48649;48650;48651;48652;48653;48654;48655;48656;48657;48658;48659;48660;48661;48662;48663	6623;10612;10726;10732;12199;16972;18746;20145;22551;28816;32888;39260;39266;41361;41379;41388;41823;42014;44632;45133;48645	26;52;53	119;166;437
sp|P06748|NPM_HUMAN	sp|P06748|NPM_HUMAN	9	9	9		1	9	9	9	7	9	9	9	9	9	7	9	9	9	9	9	7	9	9	9	9	9	31.3	31.3	31.3	32.575	294	294	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.9	31.3	31.3	31.3	31.3	31.3	3297500000	488220000	589170000	405940000	681270000	535020000	597830000	480750000	633900000	350540000	574060000	462180000	462830000	36	32	32	33	34	30	197				311	99;832;1194;5103;5106;5107;7075;7076;7197	True;True;True;True;True;True;True;True;True	99;842;843;1214;5195;5196;5199;5200;5201;5202;7209;7210;7211;7335	607;608;609;610;611;612;613;614;615;616;617;618;619;620;621;622;623;624;625;626;4995;4996;4997;4998;4999;5000;5001;5002;5003;5004;5005;5006;5007;5008;5009;7199;7200;7201;7202;7203;7204;31190;31191;31192;31193;31194;31195;31196;31197;31198;31199;31200;31201;31202;31203;31204;31205;31206;31207;31208;31209;31222;31223;31224;31225;31226;31227;31228;31229;31230;31231;31232;31233;31234;31235;31236;31237;31238;31239;31240;31241;31242;31243;31244;31245;31246;31247;31248;31249;31250;31251;31252;31253;31254;31255;31256;43597;43598;43599;43600;43601;43602;43603;43604;43605;43606;43607;43608;43609;43610;43611;43612;43613;43614;43615;43616;43617;43618;43619;43620;43621;44506;44507;44508;44509;44510	665;666;667;668;669;670;671;672;673;674;675;676;677;678;679;680;681;682;683;684;685;686;687;688;689;690;691;692;693;694;695;696;697;698;699;700;701;702;5136;5137;5138;5139;5140;5141;5142;5143;5144;5145;5146;5147;5148;5149;5150;5151;5152;5153;7435;7436;7437;7438;7439;7440;31250;31251;31252;31253;31254;31255;31256;31257;31258;31259;31260;31261;31262;31263;31264;31265;31266;31267;31268;31269;31270;31271;31272;31273;31274;31275;31276;31277;31278;31279;31280;31281;31282;31283;31284;31285;31286;31287;31288;31289;31290;31300;31301;31302;31303;31304;31305;31306;31307;31308;31309;31310;31311;31312;31313;31314;31315;31316;31317;31318;31319;31320;31321;31322;31323;31324;31325;31326;31327;31328;31329;31330;31331;31332;31333;31334;31335;31336;31337;31338;31339;31340;31341;31342;31343;31344;31345;31346;31347;31348;31349;31350;31351;31352;31353;31354;31355;31356;31357;31358;31359;43657;43658;43659;43660;43661;43662;43663;43664;43665;43666;43667;43668;43669;43670;43671;43672;43673;43674;43675;43676;43677;43678;43679;43680;43681;43682;43683;43684;44737;44738;44739;44740;44741;44742;44743;44744	666;5148;7437;31277;31308;31352;43675;43684;44742	54;55;56	65;81;278
sp|P06753|TPM3_HUMAN	sp|P06753|TPM3_HUMAN	12	5	5		1	12	5	5	8	12	12	10	12	12	5	5	5	4	5	5	5	5	5	4	5	5	36.1	18.6	18.6	32.95	285	285	0	48.731	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27	36.1	36.1	30.9	36.1	36.1	164530000	18741000	22220000	29079000	31581000	33168000	29738000	21059000	25110000	29262000	27423000	29069000	23762000	5	6	6	6	7	4	34				312	17;2821;3389;3390;3748;3958;3959;4782;4967;5898;5899;8164	True;False;False;False;True;False;False;True;True;False;False;True	17;2861;3442;3443;3804;4016;4017;4854;5046;6013;6014;8324	84;85;86;87;88;89;17018;17019;17020;17021;17022;20628;20629;20630;20631;20632;20633;20634;20635;20636;20637;20638;22846;22847;22848;22849;22850;22851;24188;24189;24190;24191;24192;24193;24194;24195;24196;24197;24198;29188;29189;29190;29191;29192;30351;30352;30353;30354;30355;30356;30357;30358;30359;30360;36309;36310;36311;36312;36313;36314;36315;36316;36317;36318;36319;50517;50518;50519;50520;50521;50522	67;68;69;70;71;17069;17070;17071;17072;20858;20859;20860;20861;20862;20863;20864;20865;20866;20867;20868;20869;20870;20871;20872;20873;20874;20875;20876;20877;20878;20879;20880;20881;20882;22923;22924;22925;22926;22927;22928;22929;22930;22931;24283;24284;24285;24286;24287;24288;24289;24290;24291;24292;29169;29170;29171;30409;30410;30411;30412;30413;30414;30415;30416;30417;30418;30419;30420;30421;30422;30423;36362;36363;36364;36365;36366;36367;36368;36369;36370;36371;36372;36373;36374;50820;50821;50822	67;17069;20864;20877;22928;24290;24291;29170;30416;36363;36374;50821		
sp|P06865|HEXA_HUMAN	sp|P06865|HEXA_HUMAN	9	9	9		1	9	9	9	8	7	7	8	6	9	8	7	7	8	6	9	8	7	7	8	6	9	16.1	16.1	16.1	60.702	529	529	0	121.41	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.4	14.4	14.4	16.1	12.3	16.1	207640000	30897000	17369000	26929000	56141000	29851000	46457000	31031000	26809000	27557000	45149000	30366000	36575000	12	11	8	9	7	11	58				313	416;1286;2474;2494;2768;2769;3392;4734;6368	True;True;True;True;True;True;True;True;True	421;1307;2511;2531;2808;2809;3445;4804;6491	2471;2472;2473;2474;2475;7725;7726;14890;14891;14892;14893;14894;14895;15000;15001;15002;15003;15004;15005;16672;16673;16674;16675;16676;16677;16678;16679;20645;20646;20647;20648;20649;20650;28882;28883;28884;28885;28886;28887;39142;39143;39144;39145;39146;39147	2544;2545;2546;2547;2548;2549;2550;2551;2552;7898;14983;14984;14985;14986;14987;14988;14989;14990;14991;14992;15144;15145;15146;15147;15148;16799;16800;16801;16802;16803;16804;16805;16806;16807;16808;16809;16810;20888;20889;20890;28837;28838;28839;28840;28841;28842;28843;28844;28845;39224;39225;39226;39227;39228;39229;39230;39231;39232;39233	2546;7898;14989;15148;16799;16803;20890;28844;39228		
sp|Q8N257|H2B3B_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q6DRA6|H2B2D_HUMAN;sp|Q6DN03|H2B2C_HUMAN	sp|Q8N257|H2B3B_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q6DRA6|H2B2D_HUMAN;sp|Q6DN03|H2B2C_HUMAN	4;4;4;4;4;2;2	2;2;2;2;2;2;2	2;2;2;2;2;2;2	;;;;;;	7	4	2	2	4	3	4	4	4	4	2	1	2	2	2	2	2	1	2	2	2	2	27	7.9	7.9	13.908	126	126;126;126;126;126;164;193	0	12.997	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	27	27	27	27	27	27	66310000	11653000	1821600	9670800	10303000	10063000	22798000	16780000	6398000	7286400	3616600	8166700	18829000	3	0	0	1	1	5	10				314	474;1681;3634;4377	False;True;True;False	479;480;481;1707;3690;4443	2822;2823;2824;2825;2826;2827;2828;2829;2830;2831;2832;2833;2834;2835;2836;2837;2838;2839;2840;2841;2842;2843;2844;2845;10108;10109;10110;10111;10112;22079;22080;22081;22082;22083;22084;22085;22086;22087;22088;22089;26765;26766;26767;26768;26769;26770	2890;2891;2892;2893;2894;2895;2896;2897;2898;2899;2900;2901;2902;2903;2904;2905;2906;2907;2908;2909;2910;2911;2912;2913;2914;2915;2916;2917;2918;2919;2920;2921;2922;2923;2924;2925;2926;2927;2928;2929;2930;2931;2932;2933;2934;2935;2936;2937;2938;2939;2940;2941;2942;2943;2944;2945;2946;2947;10105;10106;10107;10108;10109;22202;22203;22204;22205;22206;26824;26825;26826;26827;26828;26829;26830;26831;26832;26833;26834;26835;26836;26837;26838	2926;10105;22202;26824	31;32	60;63
